>test 测试
>CallBoss_plable1 召唤的坐标:
>CallBoss_Tips1 成功召唤---
>CallBoss_Tips2 种族
>CallBoss_Tips3 刷新

>----------window6 简单使用----------
>EasyUse_Title 简单使用
>EasyUse_bntChooseNpc 修改
>EasyUse_bntChooseNpcre 移除
>EasyUse_bntAddItem 添加
>EasyUse_bntAllItemre 清空
>EasyUse_EasyUse 快捷按钮
>EasyUse_EasyUseGird 辅助线
>EasyUse_EasyUseMoreSpeed 游戏倍速
>EasyUse_Tips1 获取暂停中...(按"P"键继续)
>EasyUse_Tips2 当前NPC
>EasyUse_Tips3 当前物品
>EasyUse_Tips4 当前建筑
>EasyUse_Tips5 当前植物
>EasyUse_Tips6 当前坐标
>EasyUse_Tips7 当前Key
>EasyUse_Tips8 自动获取中...(按"P"键暂停)
>EasyUse_Tips9 成功!
>EasyUse_Tips10 失败!
>EasyUse_Tips11 已开启。将会自动添加快捷按钮！
>EasyUse_Tips12 已关闭！
>EasyUse_Tips13 已开启辅助线！
>EasyUse_Tips14 已关闭辅助线！
>EasyUse_Tips15 已开启倍数按钮！
>EasyUse_Tips16 已关闭倍数按钮！
>EasyUse_Tips17 修改该人物数据
>EasyUse_Tips18 修改该物品数据
>EasyUse_Tips19 修改该植物数据
>EasyUse_Tips20 修改该建筑数据

>----------window7 事件添加----------
>EventSet_Title 事件添加
>EventSet_bntWeatherSet 添加事件
>EventSet_lable1 事件编号:
>EventSet_AllEvent 全部事件
>EventSet_lable3111 NPC编号:
>EventSet_bntChooseNpc 选择
>EventSet_bntUpdataNpcList MEN
>EventSet_bntUpdataAllNpcList NPC

>EventSet_Tips1 当前选择的NPC
>EventSet_Tips2 成功增加事件:
>EventSet_Tips3 增加随机故事成功!
>EventSet_Tips4 查看全部事件成功!
>EventSet_Tips5 查看全部选择成功!
>EventSet_Tips6 选择NPC失败!
>EventSet_Tips7 无编号!
>EventSet_Tips8 编号溢出!
>EventSet_Tips9 选择NPC成功!
>EventSet_Tips10 刷新人物列表成功!
>EventSet_Tips11 刷新NPC列表成功!
>EventSet_Tips12 显示秘闻失败!
>EventSet_Tips13 人物列表
>EventSet_Tips14 NPC列表
>EventSet_Tips15 【ID】
>EventSet_Tips16 【名字】
>EventSet_Tips17 【描述】
>EventSet_Tips18 【种类】
>EventSet_Tips19 【解锁等级】
>EventSet_Tips20 【等级】
>EventSet_Tips21 【类名】

>----------window8 标志修改----------
>FlagSet_Title 标志修改
>FlagSet_WorldFlagSet 世界标志修改:
>FlagSet_WorldFlagShow 请输入后点击查询按钮
>FlagSet_bntWorldFlagSearch 查询
>FlagSet_WorldFlagSetLable WorldFlag:
>FlagSet_bntWorldFlagSet 修改
>FlagSet_WorldFlagSetLable2 Value:
>FlagSet_bntUpdateLIst 刷新列表
>FlagSet_Tips1 查找WorldFlag
>FlagSet_Tips2 你还没有输入待查找的值!
>FlagSet_Tips3 你还没有查询你要查找的WorldFlag!
>FlagSet_Tips4 修改WorldFlag
>FlagSet_Tips5 你还没有输入待修改的值!
>FlagSet_Tips6 更新世界标志列表成功!
>FlagSet_Tips7 更新世界标志列表失败!
>FlagSet_Tips8 警告
>FlagSet_Tips9 正在搜索世界Flag
>FlagSet_Tips10 正在设置世界Flag
>FlagSet_Tips11 Flag
>FlagSet_Tips12 Value
>FlagSet_Tips13 标志列表
>----------window9 江湖NPC管理----------
>JHNpcManager_Title 江湖NPC管理
>JHNpcManager_lable3111 编号
>JHNpcManager_bntCopyNpcList 拷贝数据
>JHNpcManager_bntShowJHNPCBase 基础属性
>JHNpcManager_bntShowJHNPCHateItems 讨厌物品
>JHNpcManager_bntShowJHNPCLikeItems 喜爱物品
>JHNpcManager_bntUpdate 已知NPC
>JHNpcManager_bntUpdateAllJHNPC 全部NPC
>JHNpcManager_lable12 行商操作:
>JHNpcManager_lable1XS1 ID:
>JHNpcManager_lable1XS2 参数:
>JHNpcManager_bntAddXSNPC 创建行商
>JHNpcManager_bntShowXSNPC 刷新列表
>JHNpcManager_bntChangeList 修改列表
>JHNpcManager_bntYesList 确认列表
>JHNpcManager_lable5 快捷操作
>JHNpcManager_lable121 清空好感
>JHNpcManager_lable11 拉满好感
>JHNpcManager_lable9 解锁信息
>JHNpcManager_lable13 打开心防
>JHNpcManager_lable14 关闭心防
>JHNpcManager_lable15 清除警惕
>JHNpcManager_lable8 杀死NPC
>JHNpcManager_lable16 复活NPC
>JHNpcManager_lable20 召唤NPC
>JHNpcManager_lable18 线索解锁
>JHNpcManager_lable19 隐秘解锁
>JHNpcManager_lable17 清理NPC
>JHNpcManager_lable10 深度清理
>JHNpcManager_bntDownHGJHNPC 执行!

>JHNpcManager_Tips1 显示基础属性!
>JHNpcManager_Tips2 显示讨厌物品!
>JHNpcManager_Tips3 显示喜欢物品!
>JHNpcManager_Tips4 已知的江湖NPC刷新成功!
>JHNpcManager_Tips5 全部的江湖NPC刷新成功!
>JHNpcManager_Tips6 江湖NPC召回成功!
>JHNpcManager_Tips7 江湖NPC召回失败!
>JHNpcManager_Tips8 江湖NPC送走成功!
>JHNpcManager_Tips9 江湖NPC送走失败!
>JHNpcManager_Tips10 杀死江湖NPC成功!
>JHNpcManager_Tips11 杀死江湖NPC失败!
>JHNpcManager_Tips12 尝试复活江湖NPC成功!
>JHNpcManager_Tips13 解锁江湖NPC信息成功!
>JHNpcManager_Tips14 尝试移除死亡的江湖NPC!
>JHNpcManager_Tips15 清理执行完毕!
>JHNpcManager_Tips16 尝试移除死亡的江湖NPC，移除隐藏的NPC!
>JHNpcManager_Tips17 深度清理执行完毕!
>JHNpcManager_Tips18 解锁隐秘数--
>JHNpcManager_Tips19 动态库加载失败导致解锁隐秘失败!
>JHNpcManager_Tips20 动态库中函数运行失败导致解锁隐秘失败!
>JHNpcManager_Tips21 解锁线索数--
>JHNpcManager_Tips22 动态库加载失败导致解锁线索失败!
>JHNpcManager_Tips23 动态库中函数运行失败导致解锁线索失败!
>JHNpcManager_Tips24 拉满江湖NPC好感成功!
>JHNpcManager_Tips25 清空江湖NPC好感成功!
>JHNpcManager_Tips26 江湖NPC打开心防成功!
>JHNpcManager_Tips27 江湖NPC关闭心防成功!
>JHNpcManager_Tips28 江湖NPC清除警惕成功!
>JHNpcManager_Tips29 NPC大能刷新成功!
>JHNpcManager_Tips30 添加行商成功!
>JHNpcManager_Tips31 刷新行商信息成功!
>JHNpcManager_Tips32 改变列表成功!
>JHNpcManager_Tips33 改变列表失败!
>JHNpcManager_Tips34 确认列表成功!
>JHNpcManager_Tips35 确认列表失败!
>JHNpcManager_Tips36 拷贝数据成功!
>JHNpcManager_Tips37 行商信息
>JHNpcManager_Tips38 人物列表
>JHNpcManager_Tips39 基础属性
>JHNpcManager_Tips40 喜欢物品
>JHNpcManager_Tips41 讨厌物品
>JHNpcManager_Tips42 喜欢的物品
>JHNpcManager_Tips43 讨厌的物品
>----------window10 人物召唤界面----------
>JoinnerSet_Title 人物召唤界面
>JoinnerSet_tlable1 加入者设置:
>JoinnerSet_lable1 种族:
>JoinnerSet_labley2 数量:
>JoinnerSet_labley3 等级:
>JoinnerSet_bntJoinerComming 召唤
>JoinnerSet_tlable2 敌人设置:
>JoinnerSet_labley41 贫富:
>JoinnerSet_tlable3 路人设置:
>JoinnerSet_labley411 门派:
>JoinnerSet_tlable4 降临者:
>JoinnerSet_lableyr1 停留时间:
>JoinnerSet_tlablell1 灵宠:
>JoinnerSet_tlable5 轮回者:
>JoinnerSet_labler5 编号:
>JoinnerSet_bntReload 重载

>JoinnerSet_Tips1 召唤加入者
>JoinnerSet_Tips2 召唤敌人
>JoinnerSet_Tips3 召唤路人
>JoinnerSet_Tips4 召唤降临者
>JoinnerSet_Tips5 召唤灵宠
>JoinnerSet_Tips6 召唤轮回者
>JoinnerSet_Tips7 召唤轮回者失败!
>JoinnerSet_Tips8 重新载入该模块成功!
>JoinnerSet_Tips9 获取种族列表成功!(来自函数)Get RaceList true!(from Func)
>JoinnerSet_Tips10 咸鱼中
>JoinnerSet_Tips11 种族
>JoinnerSet_Tips12 轮回者列表
>JoinnerSet_Tips13 男
>JoinnerSet_Tips14 女
>JoinnerSet_Tips15 岁

>----------window11 区域修改----------
>MapAreaSet_Title 区域修改
>MapAreaSet_bntUpdateAllArea 全部区域
>MapAreaSet_lable3111 区域编号:
>MapAreaSet_bntChooseChoose 选择
>MapAreaSet_ShowChooseArea 显示区域
>MapAreaSet_lableTS 物品查找
>MapAreaSet_bntUpdateAllThingKey 更新数据
>MapAreaSet_bntsSearchAreaThingBuyBigData 静态查找
>MapAreaSet_bntSearchAreaThingNoNeed 动态查找
>MapAreaSet_bntCopyData 拷贝数据
>MapAreaSet_lableAdd 填充方案:
>MapAreaSet_lableAdd1 填充植物:
>MapAreaSet_bntAddPlants 填充
>MapAreaSet_bntAllPlants 全部植物
>MapAreaSet_lableAdd2 填充建筑:
>MapAreaSet_bntUpdateAllBuilding 全部建材
>MapAreaSet_bntAllBuildings 全部建筑
>MapAreaSet_lableAdd3 修改地形:
>MapAreaSet_bntAddTerrains 修改
>MapAreaSet_bntAllTerrains 全部地形
>MapAreaSet_RemoveFloor 移除地板
>MapAreaSet_lableAdd4 修改灵气
>MapAreaSet_lableAdd5 自定义区域:
>MapAreaSet_lableAdd6 区域左下点:
>MapAreaSet_bntAllArea 选中全图
>MapAreaSet_lableAdd7 区域右上点:
>MapAreaSet_UseArea 使用区域
>MapAreaSet_lableTS2 快捷操作:
>MapAreaSet_bntRemoveAllGrid 移除该区域
>MapAreaSet_bntRemoveAllThing 和平该区域
>MapAreaSet_bntRemoveAllThingNorNPC 清空该区域
>MapAreaSet_RemoveItems 移除物品

>MapAreaSet_Tips1 注意:更新数据可能需要几十秒！
>MapAreaSet_Tips2 当前选择的区域
>MapAreaSet_Tips3 选中全图成功!
>MapAreaSet_Tips4 选中全图失败!
>MapAreaSet_Tips5 使用坐标圈定的区域!
>MapAreaSet_Tips6 使用选定的区域!
>MapAreaSet_Tips7 拷贝成功!
>MapAreaSet_Tips8 拷贝失败!
>MapAreaSet_Tips9 查找完毕!
>MapAreaSet_Tips10 和平成功!
>MapAreaSet_Tips11 清空成功!
>MapAreaSet_Tips12 显示全部建筑成功!
>MapAreaSet_Tips13 显示全部植物成功!
>MapAreaSet_Tips14 显示全部地形成功!
>MapAreaSet_Tips15 填充成功!
>MapAreaSet_Tips16 修改地形成功!
>MapAreaSet_Tips17 修改灵气成功!
>MapAreaSet_Tips18 移除成功!
>MapAreaSet_Tips19 显示全部区域成功!
>MapAreaSet_Tips20 显示全部建材成功!
>MapAreaSet_Tips21 选择成功!
>MapAreaSet_Tips22 选择失败!
>MapAreaSet_Tips23 更新数据成功!
>MapAreaSet_Tips24 静态数据查找成功!
>MapAreaSet_Tips25 动态查找成功!
>MapAreaSet_Tips26 修改成功!
>MapAreaSet_Tips27 区域列表
>MapAreaSet_Tips28 物品列表
>MapAreaSet_Tips29 选择的建材不可用!
>MapAreaSet_Tips30 选择的建材


>----------window12 地图修改----------
>MapSet_Title 地图修改
>MapSet_lable1 快捷操作:
>MapSet_bntShowMap 开图
>MapSet_bntClean 除尘
>MapSet_lable3 高级查找:
>MapSet_bntClear1 查找NPC
>MapSet_bntClear11 NPC列表
>MapSet_bntClear2 查找Item
>MapSet_bntClear21 Item列表
>MapSet_bntClear3 查找Plant
>MapSet_bntClear31 Plant列表
>MapSet_bntClear4 查找Building
>MapSet_bntClear41 Building列表
>MapSet_bntClear5 查找Space
>MapSet_bntClear51 Space列表
>MapSet_bntClear6 查找CMD
>MapSet_bntClear61 CMD列表
>MapSet_lable4 区域管理:
>MapSet_bntAreaManager 进入
>MapSet_lableID1 起始位置:
>MapSet_lableID2 终止位置:
>MapSet_bntClearing 移除
>MapSet_bntClearingAll 全部移除
>MapSet_bntClearingOne 单个移除
>MapSet_bntClearingUpdate 刷新
>MapSet_bntPasteData 粘贴数据
>MapSet_lableA1 地图属性:
>MapSet_lableA2 类型:
>MapSet_lable6 属性值:
>MapSet_bntSetList 修改列表
>MapSet_bntYesList 确认列表
>MapSet_bntUpdateList 刷新列表
>MapSet_bntYesAllMap 全图应用

>MapSet_Tips1 粘贴数据成功!
>MapSet_Tips2 开图成功!
>MapSet_Tips3 清除灰尘成功!
>MapSet_Tips4 搜寻成功!
>MapSet_Tips5 显示成功!
>MapSet_Tips6 刷新列表成功!
>MapSet_Tips7 修改列表成功!
>MapSet_Tips8 确认列表成功!
>MapSet_Tips9 全图应用成功!
>MapSet_Tips10 移除成功!
>MapSet_Tips11 失败!
>MapSet_Tips12 全部移除成功!
>MapSet_Tips13 单个移除成功
>MapSet_Tips14 区域管理!
>MapSet_Tips15 类型
>MapSet_Tips16 外部数据列表
>MapSet_Tips17 数据列表
>MapSet_Tips18 数量超过2200，已停止!
>MapSet_Tips19 你可能还没有显示列表!
>MapSet_Tips20 属性

>----------window13 天气添加----------
>WeatherSet_Title 天气添加
>WeatherSet_tlable1 天气设置:
>WeatherSet_lable1 天气名:
>WeatherSet_bntWeatherSet 添加
>WeatherSet_bntRemoveWeather 移除全部

>WeatherSet_Tips1 增加天气
>WeatherSet_Tips2 移除全部天气成功!
>WeatherSet_Tips3 天气种类

>----------window14 时间修改----------
>TimeSet_Title 时间修改
>TimeSet_ShowLable 注意:随意的修改天数可能导致事件不触发。
>TimeSet_lable3 天数:
>TimeSet_bntSetDay 修改
>TimeSet_lable4 小时:
>TimeSet_lable7 季节修改:
>TimeSet_bntSetSeason1 春季
>TimeSet_bntSetSeason2 夏季
>TimeSet_bntSetSeason3 秋季
>TimeSet_bntSetSeason4 冬季
>TimeSet_lable5 游戏速度:
>TimeSet_lable6 当前:

>TimeSet_Tips1 当前倍速---
>TimeSet_Tips2 修改当前天数为: 
>TimeSet_Tips3 修改当前时间为: 
>TimeSet_Tips4 修改到春季: 
>TimeSet_Tips5 修改到夏季: 
>TimeSet_Tips6 修改到秋季: 
>TimeSet_Tips7 修改到冬季: 

>----------window15 物品模块----------
>ThingManagerMore_Title 物品模块
>ThingManagerMore_ShowLableThingSetMod 装备模块:
>ThingManagerMore_ShowLableThing 当前模块:
>ThingManagerMore_bntUpdate 刷新列表
>ThingManagerMore_bntRemove 移除该项
>ThingManagerMore_ShowLable2 ID:
>ThingManagerMore_ShowLable3 值:
>ThingManagerMore_bntSet 修改列表
>ThingManagerMore_bntYes 确定列表
>ThingManagerMore_ShowLableThingSetMod3 装备模块添加:(技能型)
>ThingManagerMore_ShowLable4 类型:
>ThingManagerMore_ShowLable5 等级:
>ThingManagerMore_ShowLable6 爱好:
>ThingManagerMore_bntAddJN 添加模块
>ThingManagerMore_bntAllJN 所有类型
>ThingManagerMore_ShowLableThingSetMod2 装备模块添加:(平常型)
>ThingManagerMore_ShowLable7 名字:
>ThingManagerMore_ShowLable8 标志:
>ThingManagerMore_ShowLable9 词条:
>ThingManagerMore_bntAllCT 所有词条
>ThingManagerMore_bntAllBZ 所有标志
>ThingManagerMore_ShowLable10 AddP:
>ThingManagerMore_ShowLable11 AddV:
>ThingManagerMore_ShowLable12 BaddP:
>ThingManagerMore_ShowLable13 BaddV:
>ThingManagerMore_ShowLableThingSetMod 风水模块:
>ThingManagerMore_ShowLable16 词条ID:
>ThingManagerMore_ShowLable17 词条名:
>ThingManagerMore_ShowLable18 效果:
>ThingManagerMore_bntRemListFSCT 移除词条
>ThingManagerMore_bntAddListFSCT 添加词条
>ThingManagerMore_ShowLableThingSetModFB 秘宝模块:
>ThingManagerMore_bntRremoveModFB 移除模块
>ThingManagerMore_ShowLableThingSetModFB2 秘宝模块添加:(平常型)
>ThingManagerMore_ShowLable20 nParam1:
>ThingManagerMore_ShowLable21 nParam2:
>ThingManagerMore_ShowLable22 fParam1:
>ThingManagerMore_ShowLable23 fParam2:
>ThingManagerMore_ShowLable124 sParam1:
>ThingManagerMore_ShowLable125 sParam2:

>ThingManagerMore_Tips1 修改列表成功!
>ThingManagerMore_Tips2 确认列表成功!
>ThingManagerMore_Tips3 刷新装备模块列表成功!
>ThingManagerMore_Tips4 刷新装备模块列表失败!
>ThingManagerMore_Tips5 移除该条属性成功!
>ThingManagerMore_Tips6 移除该条属性失败!
>ThingManagerMore_Tips7 添加装备技能模块成功!
>ThingManagerMore_Tips8 添加装备技能模块失败!
>ThingManagerMore_Tips9 查看所有技能类型成功!
>ThingManagerMore_Tips10 查看所有词条成功!
>ThingManagerMore_Tips11 查看所有标志成功!
>ThingManagerMore_Tips12 添加装备平常模块成功!
>ThingManagerMore_Tips13 添加模块成功!
>ThingManagerMore_Tips14 添加模块失败,该模块只能有一个!
>ThingManagerMore_Tips15 刷新列表成功!
>ThingManagerMore_Tips16 刷新列表失败!
>ThingManagerMore_Tips17 移除词条成功!
>ThingManagerMore_Tips18 移除词条失败!
>ThingManagerMore_Tips19 查看所有词条成功!
>ThingManagerMore_Tips20 刷新词条列表成功!
>ThingManagerMore_Tips21 刷新词条列表失败!
>ThingManagerMore_Tips22 添加词条成功!
>ThingManagerMore_Tips23 添加词条失败!
>ThingManagerMore_Tips24 刷新秘宝模块列表成功!
>ThingManagerMore_Tips25 刷新秘宝模块列表失败!
>ThingManagerMore_Tips26 移除秘宝模块成功!
>ThingManagerMore_Tips27 移除秘宝模块失败!
>ThingManagerMore_Tips28 添加秘宝模块成功!
>ThingManagerMore_Tips29 添加秘宝模块失败!
>ThingManagerMore_Tips30 显示所有秘宝类型成功!
>ThingManagerMore_Tips31 秘宝模块
>ThingManagerMore_Tips32 秘宝词条属性
>ThingManagerMore_Tips33 风水属性
>ThingManagerMore_Tips34 未知
>ThingManagerMore_Tips35 装备模块
>ThingManagerMore_Tips36 模块属性
>ThingManagerMore_Tips37 当前选择的Thing
>ThingManagerMore_Tips38 词条列表
>ThingManagerMore_Tips39 词条名:ModifierName
>ThingManagerMore_Tips40 词条效果:ModifierScale
>ThingManagerMore_Tips41 模块名字列表

>----------window16 物品管理----------
>ThingManager_Title 物品管理
>ThingManager_ShowLable “重画”可能会造成置物台物品贴图错误!
>ThingManager_lable3111 Thing编号:
>ThingManager_ShowLableNpc 当前选择的物品
>ThingManager_bntChooseThing 选择
>ThingManager_bntChooseThingShow 自动选中
>ThingManager_bntSetset 查看Xml
>ThingManager_bntMSearch 模糊搜索
>ThingManager_ShowLableAttribute 当前选择的属性
>ThingManager_lable3 属性编号:
>ThingManager_lable4 属性:
>ThingManager_bntSet 修改列表
>ThingManager_bntYesSetNpc 确认列表
>ThingManager_lable131 物品绑定:
>ThingManager_lable14 ID:
>ThingManager_bntButton13 确认绑定
>ThingManager_bntButton14 全部人物
>ThingManager_bntButton15 全部角色
>ThingManager_lable17 蛋管理:
